location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
z4-p93	499	0	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	499	0	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	999	500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	999	500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	1499	1000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	1499	1000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	1999	1500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	1999	1500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	2499	2000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	2499	2000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	2999	2500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	2999	2500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	3499	3000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	3499	3000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	3999	3500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	3999	3500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	4499	4000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	4499	4000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	4999	4500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	4999	4500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	5499	5000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	5499	5000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	5999	5500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	5999	5500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	6499	6000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	6499	6000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	6999	6500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	6999	6500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	7499	7000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	7499	7000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	7999	7500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	7999	7500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	8499	8000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	8499	8000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	8999	8500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	8999	8500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	9499	9000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	9499	9000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	9999	9500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	9999	9500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	10499	10000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	10499	10000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	10999	10500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	10999	10500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	11499	11000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	11499	11000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	11999	11500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	11999	11500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z4-p93	12499	12000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
z4-p93	12499	12000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
z3-p92	499	0	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	26		
z3-p92	499	0	NA	community	NA	NA	NA	Species_richness	plausable_count	120		
z3-p92	999	500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	27		
z3-p92	999	500	NA	community	NA	NA	NA	Species_richness	plausable_count	123		
z3-p92	1499	1000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	27		
z3-p92	1499	1000	NA	community	NA	NA	NA	Species_richness	plausable_count	123		
z3-p92	1999	1500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	28		
z3-p92	1999	1500	NA	community	NA	NA	NA	Species_richness	plausable_count	138		
z3-p92	2499	2000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	28		
z3-p92	2499	2000	NA	community	NA	NA	NA	Species_richness	plausable_count	138		
z3-p92	2999	2500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	26		
z3-p92	2999	2500	NA	community	NA	NA	NA	Species_richness	plausable_count	133		
z3-p92	3499	3000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	26		
z3-p92	3499	3000	NA	community	NA	NA	NA	Species_richness	plausable_count	133		
z3-p92	3999	3500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	27		
z3-p92	3999	3500	NA	community	NA	NA	NA	Species_richness	plausable_count	135		
z3-p92	4499	4000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	27		
z3-p92	4499	4000	NA	community	NA	NA	NA	Species_richness	plausable_count	135		
z3-p92	4999	4500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	27		
z3-p92	4999	4500	NA	community	NA	NA	NA	Species_richness	plausable_count	135		
z3-p92	5499	5000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	26		
z3-p92	5499	5000	NA	community	NA	NA	NA	Species_richness	plausable_count	133		
z3-p92	5999	5500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	26		
z3-p92	5999	5500	NA	community	NA	NA	NA	Species_richness	plausable_count	133		
z3-p92	6499	6000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	26		
z3-p92	6499	6000	NA	community	NA	NA	NA	Species_richness	plausable_count	133		
z3-p92	6999	6500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	25		
z3-p92	6999	6500	NA	community	NA	NA	NA	Species_richness	plausable_count	128		
z3-p92	7499	7000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	25		
z3-p92	7499	7000	NA	community	NA	NA	NA	Species_richness	plausable_count	128		
z3-p92	7999	7500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	25		
z3-p92	7999	7500	NA	community	NA	NA	NA	Species_richness	plausable_count	128		
z3-p92	8499	8000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	26		
z3-p92	8499	8000	NA	community	NA	NA	NA	Species_richness	plausable_count	130		
z3-p92	8999	8500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	25		
z3-p92	8999	8500	NA	community	NA	NA	NA	Species_richness	plausable_count	115		
z3-p92	9499	9000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	25		
z3-p92	9499	9000	NA	community	NA	NA	NA	Species_richness	plausable_count	115		
z3-p92	9999	9500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	27		
z3-p92	9999	9500	NA	community	NA	NA	NA	Species_richness	plausable_count	132		
